proveedor_id,pieza_id,cantidad,fecha
1995,252,7,2024-08-25
4372,138,2,2024-09-05
5652,873,4,2025-04-15
8916,335,8,2025-04-21
8374,894,5,2025-02-22
6614,117,4,2024-05-18
1473,209,3,2025-03-14
4119,736,6,2024-12-03
5342,405,1,2025-02-09
2889,820,3,2025-03-04
7258,336,7,2024-12-19
1473,903,3,2024-05-27
1039,929,1,2024-07-26
8726,952,3,2024-05-31
5406,814,5,2024-04-30
4422,824,8,2024-08-27
1914,616,9,2024-09-09
8860,720,1,2025-02-15
5814,406,7,2024-07-10
3562,957,4,2024-06-16
6872,808,10,2024-10-02
3355,814,4,2024-06-26
7846,154,1,2024-09-09
9674,263,4,2025-01-09
5695,449,1,2024-09-11
7327,894,5,2025-04-13
9018,292,2,2025-04-21
8434,263,7,2024-05-23
7849,634,3,2024-10-11
3275,529,1,2025-01-12
7071,821,3,2025-03-28
8629,661,7,2024-11-30
2986,359,9,2024-11-22
3855,738,7,2025-02-21
9692,606,2,2024-06-29
4433,121,7,2024-08-13
9461,479,5,2025-03-28
8328,948,7,2025-04-24
